date,C5TC (182),C5TC,BCI,C16_182,C3,C5,C3-TCE,C5-TCE,C3_minus_C5,C3_div_C5,C3_TCE_minus_C5_TCE,C3_TCE_div_C5_TCE,C3_TCE_div_C5TC_182,C5_TCE_div_C5TC_182,C10_182,C14_182,C17,C17-TCE,C18_182,C2,C2-TCE,C7,C8_182,C9_182
2025-01-02,,,,-109.0,18.035,6.73,11241.0,7039.0,11.305,2.679791976225854,4202.0,1.5969597954254866,,,10145.0,13955.0,12.567,9287.0,,8.524,9021.0,9.721,14093.0,32906.0
2025-01-03,,,,265.0,18.285,7.275,11733.0,9827.0,11.01,2.51340206185567,1906.0,1.1939554289203216,,,12305.0,14510.0,12.844,10019.0,,8.621,9407.0,10.021,15100.0,34206.0
2025-01-06,,,,61.0,17.64,6.84,9992.0,7197.0,10.8,2.5789473684210527,2795.0,1.3883562595525913,,,11123.0,13500.0,12.506,8676.0,,8.471,8308.0,10.079,14979.0,33994.0
2025-01-07,,,,293.0,17.33,6.525,9379.0,5584.0,10.804999999999998,2.6559386973180072,3795.0,1.6796203438395416,,,10441.0,13085.0,12.261,8028.0,,8.329,7745.0,9.921,15164.0,33494.0
2025-01-08,,,,93.0,17.08,6.21,8864.0,3954.0,10.869999999999997,2.750402576489533,4910.0,2.2417804754678805,,,9082.0,12600.0,11.972,7244.0,,8.179,7097.0,9.65,13829.0,32794.0
2025-01-09,,,,511.0,17.345,6.11,9507.0,3545.0,11.235,2.838788870703764,5962.0,2.681805359661495,,,8650.0,13065.0,12.111,7726.0,,8.357,7916.0,10.071,15559.0,33744.0
2025-01-10,,,,1361.0,18.155,6.245,10763.0,3936.0,11.91,2.9071257005604485,6827.0,2.734502032520325,,,9395.0,14630.0,12.561,8584.0,,8.714,9224.0,11.557,21186.0,35775.0
2025-01-13,,,,2144.0,18.51,6.63,11069.0,5564.0,11.880000000000003,2.79185520361991,5505.0,1.9893961179007909,,,10564.0,15410.0,12.939,9204.0,,9.014,10106.0,11.929,22821.0,39881.0
2025-01-14,,,,2525.0,18.215,6.45,9872.0,4111.0,11.765,2.824031007751938,5761.0,2.401362198978351,,,10095.0,14715.0,12.794,8230.0,,9.164,10314.0,12.15,23386.0,40269.0
2025-01-15,,,,2788.0,18.05,6.54,9734.0,4735.0,11.510000000000002,2.7599388379204894,4999.0,2.0557550158394933,,,10323.0,14460.0,12.706,8178.0,,8.979,9534.0,12.057,22921.0,40394.0
2025-01-16,,,,1563.0,17.97,6.4,9070.0,3581.0,11.569999999999999,2.8078125,5489.0,2.532812063669366,,,9873.0,14115.0,12.7,7677.0,,8.743,8058.0,11.757,21443.0,38844.0
2025-01-17,,,,1581.0,18.005,6.405,9625.0,4027.0,11.599999999999998,2.811085089773614,5598.0,2.3901167121926994,,,9791.0,14105.0,12.811,8437.0,,8.514,7694.0,11.236,19336.0,37856.0
2025-01-20,,,,1131.0,17.885,6.21,9080.0,2762.0,11.675,2.880032206119163,6318.0,3.287472845763939,,,9186.0,13741.0,12.733,7935.0,,8.371,7265.0,11.014,18629.0,37156.0
2025-01-21,,,,1188.0,17.68,6.255,8586.0,2916.0,11.425,2.826538768984812,5670.0,2.9444444444444446,,,9223.0,13315.0,12.611,7527.0,,8.364,7217.0,10.921,18650.0,36588.0
2025-01-22,,,,1188.0,17.745,6.205,8982.0,2891.0,11.540000000000001,2.8597904915390817,6091.0,3.106883431338637,,,9105.0,13295.0,12.6,7755.0,,8.379,7280.0,10.814,17671.0,35725.0
2025-01-23,,,,6.0,17.48,5.95,8705.0,1800.0,11.530000000000001,2.93781512605042,6905.0,4.836111111111111,,,7859.0,13025.0,12.472,7654.0,,8.15,6547.0,10.121,15186.0,34503.0
2025-01-24,,,,-681.0,17.095,5.85,7934.0,1279.0,11.245,2.922222222222222,6655.0,6.2032838154808445,,,7373.0,12130.0,12.233,7012.0,,7.871,5630.0,9.879,14243.0,33444.0
2025-01-27,,,,-788.0,17.056,5.79,7827.0,947.0,11.266000000000002,2.945768566493955,6880.0,8.265047518479408,,,6910.0,12044.0,12.225,6962.0,,7.807,5321.0,9.821,13914.0,33106.0
2025-01-28,,,,-1000.0,17.15,5.705,8369.0,820.0,11.444999999999999,3.006134969325153,7549.0,10.20609756097561,,,6490.0,12372.0,12.294,7487.0,,7.779,5313.0,9.786,13731.0,32613.0
2025-01-29,,,,-1513.0,17.222,5.72,8512.0,897.0,11.502000000000002,3.0108391608391614,7615.0,9.489409141583055,,,6495.0,12567.0,12.306,7519.0,,7.621,4647.0,9.693,13271.0,31144.0
2025-01-30,,,,-2056.0,17.089,5.885,8219.0,1716.0,11.203999999999999,2.903823279524214,6503.0,4.78962703962704,,,6885.0,12367.0,12.238,7310.0,,7.436,3728.0,9.486,12329.0,30706.0
