date,C5TC (182),C5TC,BCI,C16_182,C3,C5,C3-TCE,C5-TCE,C10_182,C14_182,C17,C17-TCE,C18_182,C2,C2-TCE,C7,C8_182,C9_182
2023-01-03,,,,,18.961,7.43,9847.0,8530.0,,,13.822,9509.0,,10.75,15688.0,11.906,,
2023-01-04,,,,,18.544,7.17,9963.0,7996.0,,,13.567,9738.0,,10.444,15153.0,11.628,,
2023-01-05,,,,,18.456,7.205,10738.0,8974.0,,,13.539,10575.0,,10.288,15425.0,11.45,,
2023-01-06,,,,,18.344,7.14,10112.0,8301.0,,,13.794,10859.0,,10.05,14144.0,11.489,,
2023-01-09,,,,,18.906,7.4,11497.0,9859.0,,,14.072,11859.0,,10.125,14344.0,11.611,,
2023-01-10,,,,,18.583,7.11,10988.0,8489.0,,,13.872,11454.0,,9.95,13591.0,11.511,,
2023-01-11,,,,,18.028,6.99,9804.0,7803.0,,,13.533,10474.0,,9.831,12983.0,11.272,,
2023-01-12,,,,,17.789,7.1,8641.0,7781.0,,,13.194,8914.0,,9.269,10188.0,10.889,,
2023-01-13,,,,,17.708,7.18,7731.0,7555.0,,,12.644,6740.0,,8.944,8285.0,10.728,,
2023-01-16,,,,,17.828,7.48,7424.0,8627.0,,,12.639,6205.0,,8.888,7668.0,10.761,,
2023-01-17,,,,,17.928,7.19,7513.0,7057.0,,,12.609,6021.0,,8.806,7355.0,10.633,,
2023-01-18,,,,,17.767,6.895,6692.0,5128.0,,,12.57,5434.0,,8.606,6381.0,10.35,,
2023-01-19,,,,,17.3,6.705,5523.0,3952.0,,,12.428,4822.0,,8.344,5002.0,9.828,,
2023-01-20,,,,,16.972,6.65,4807.0,3613.0,,,12.228,4227.0,,8.188,4718.0,9.528,,
2023-01-23,,,,,16.838,6.645,3940.0,3080.0,,,12.15,3442.0,,8.1,3763.0,9.383,,
2023-01-24,,,,,16.75,6.635,3223.0,2571.0,,,12.056,2672.0,,8.025,3078.0,9.233,,
2023-01-25,,,,,16.739,6.445,3172.0,1577.0,,,11.956,2379.0,,7.975,2971.0,9.128,,
2023-01-26,,,,,16.689,6.28,3103.0,761.0,,,11.917,2305.0,,7.888,2922.0,8.739,,
2023-01-27,,,,,16.883,6.3,3051.0,497.0,,,11.928,1916.0,,7.831,2380.0,8.567,,
2023-01-30,,,,,16.811,6.365,2978.0,886.0,,,11.889,1879.0,,7.881,2773.0,8.522,,
2023-01-31,,,,,16.75,6.36,3203.0,1152.0,,,11.839,2080.0,,7.819,2808.0,8.517,,
2023-02-01,,,,,16.622,6.33,3119.0,1141.0,,,11.744,1990.0,,7.369,1031.0,8.433,,
2023-02-02,,,,,16.193,6.39,2302.0,1472.0,,,11.594,1623.0,,7.094,-212.0,8.344,,
2023-02-03,,,,,16.06,6.375,3086.0,2278.0,,,11.589,2616.0,,6.969,-10.0,8.283,,
2023-02-06,,,,,16.0,6.315,3324.0,2272.0,,,11.511,2752.0,,6.813,-224.0,8.2,,
2023-02-07,,,,,16.417,6.26,4433.0,2233.0,,,11.617,3307.0,,6.788,175.0,8.2,,
2023-02-08,,,,,16.567,6.27,3998.0,1668.0,,,11.7,2824.0,,6.769,-622.0,8.239,,
2023-02-09,,,,,16.611,6.02,3700.0,69.0,,,11.889,2952.0,,6.756,-988.0,8.233,,
2023-02-10,,,,,16.683,6.2,3861.0,1003.0,,,11.911,3029.0,,6.788,-963.0,8.311,,
2023-02-13,,,,,16.683,6.325,3684.0,1490.0,,,11.967,3006.0,,6.869,-955.0,8.406,,
2023-02-14,,,,,16.428,6.305,3408.0,1580.0,,,11.906,3064.0,,6.806,-1162.0,7.578,,
2023-02-15,,,,,16.3,6.165,3432.0,1099.0,,,11.861,3211.0,,6.675,-1451.0,7.489,,
2023-02-16,,,,,16.172,6.077,3781.0,1159.0,,,11.772,3555.0,,6.563,-1451.0,7.411,,
2023-02-17,,,,,16.111,6.062,3671.0,1091.0,,,11.667,3287.0,,6.519,-1590.0,7.367,,
2023-02-20,,,,,16.05,6.115,4657.0,2293.0,,,11.589,4145.0,,6.5,-1045.0,7.378,,
2023-02-21,,,,,16.072,6.13,4651.0,2328.0,,,11.561,4023.0,,6.525,-996.0,7.417,,
2023-02-22,,,,,16.3,6.295,5674.0,3652.0,,,11.683,4896.0,,6.525,-792.0,7.644,,
2023-02-23,,,,,16.889,6.805,7547.0,6852.0,,,11.967,6330.0,,6.694,338.0,7.944,,
2023-02-24,,,,,17.067,6.825,7572.0,6679.0,,,12.033,6191.0,,6.806,505.0,8.122,,
